FID,osmid,s,e,seg_length
0,169381963,7248638337,42440566,6.419843297
1,226041030,42428310,42435687,190.1366841
2,22937785,42453548,373936427,15.98976087
3,"[495499656, 495499660]",4872429936,3874681654,70.29346188
4,382529693,3857343079,3857343071,9.005857786
5,677067769,8261122305,8261122734,22.59996677
6,1021569536,6636032319,5165632724,10.98332959
7,"[834351976, 834351977]",7788498920,3944708030,142.0881105
8,398379300,3569749130,3569749129,17.94188813
9,760075313,7100317888,3569749102,7.755370414
10,1020738673,9419131206,8262309026,20.24717294
11,886076141,8239225241,5852207699,7.213040815
12,833665321,3932847281,3817760667,10.09306993
13,46139023,4259278559,42434969,8.5097496
14,891757999,8288270424,8288270413,13.84587826
15,"[420906752, 421850830]",3977886857,42443612,70.79091346
16,872814520,8127675285,8127675272,13.13224583
17,1020738655,9414461046,9414461045,10.08527704
18,546143802,8119193328,5277924515,37.10306364
19,1035489414,9538820165,7903850296,7.096589445
20,460585328,42443563,42432706,79.59405975
21,893819956,8307463060,4872429944,75.09635496
22,871725871,8119462465,4234425036,13.31114487
23,833665322,9421121488,9421121478,11.3040275
24,765329897,7148114562,7148114561,36.00705198
25,380823793,8119462492,3841324404,6.646188994
26,888695629,8262308937,8262308919,3.579635927
27,"[901619664, 901619663, 113722991]",1289222447,1289222416,28.49340753
28,169383517,595105538,3569749103,71.74662985
29,500793245,4917695760,4917679392,14.24606043
30,891757999,8288270422,8288270421,8.612438405
31,"[888552522, 706247589]",9421943094,6636032321,6.579525953
32,763126559,247119598,62915549,16.29693996
33,"[495499665, 495267269, 495499655]",4872429939,3874681649,79.64618818
34,888552499,8261122856,8261122851,7.013414698
35,1019599388,9403825782,6746980154,4.80199164
36,888552435,8261122521,8261122519,7.470876837
37,589494595,5165666207,42437670,10.32329091
38,36801355,593926788,427804211,23.89041017
39,22942165,247128812,247128811,14.42497505
40,663499006,3857400386,274681226,6.226613615
41,888552412,8261122385,8261122383,7.683471348
42,893819975,8307463093,8307463092,19.88512438
43,1055496976,9698661091,9413881839,11.36712086
44,888552548,8261123008,8261123007,63.78257619
45,492704748,8307416085,4846942594,43.97836549
46,645825101,6069788569,6069788567,47.95039578
47,888695626,8262308926,8262308909,8.206460819
48,31984136,358448394,6878240302,53.01322929
49,518451327,42434959,42434954,153.4729141
50,706083613,6634486325,6634486315,19.10338585
51,512052143,5007384480,4298961520,13.53882364
52,"[954209245, 954209239]",8831630311,371021314,22.61710563
53,872814522,8271079654,8127675295,18.52750458
54,570154520,5481883911,5481883909,7.203341141
55,569345537,42430371,42430375,81.53454704
56,"[250172275, 250172276, 712343085]",4401241766,4244374658,97.41974489
57,891758016,8288270529,8288270404,184.2979467
58,144158892,2054377378,1478572253,15.24237443
59,818129150,4259278547,3932847284,64.27794538
60,630828556,42446959,42432444,83.84698521
61,788278351,6231480916,42437686,101.8711357
62,226040997,42442902,3817760031,14.46343595
63,"[818129161, 834785572, 834785574]",7640871292,7640856872,15.80840766
64,873366697,8133342848,8133342843,53.82925574
65,893819988,8307463427,8307463293,6.182595016
66,"[499334656, 499334657, 499334658, 499334655]",4906182415,4906174397,122.5892511
67,1021536601,8288270546,8261122944,61.68182733
68,727185207,6814895836,1058296193,44.76114364
69,532308031,5165666200,5165644095,71.73223391
70,733171369,8261123416,6865730145,6.940370267
71,871725910,8119462445,4234425022,12.62664594
72,1020674662,9419131156,8262309032,109.5836664
73,385001973,3883525023,3569749098,11.89570289
74,36185650,595105531,3831856757,21.69532599
75,541952503,5240026601,5240026597,25.74371571
76,702543828,6597464533,3974095823,9.573794383
