FID,osmid,s,e,seg_length
0,332455396,34519478,32635145,22.99666661
1,10594813,3113491699,154619299,46.29783569
2,"[1051235774, 1051235775]",9660383102,5777113975,50.84429176
3,1056324217,5281831675,1721058219,4.887288619
4,334810150,59612157,8530038743,6.810660742
5,331553023,1032369522,1032369418,16.89581445
6,14389214,140401344,9627714323,6.241535627
7,58659782,92496509,92492760,14.07045295
8,192121154,29271902,29271901,48.01107008
9,4575015,28887285,3957216625,7.384228332
10,891693454,3685416470,94581146,29.98594552
11,595798548,5115701916,1027200899,6.142416677
12,1056324138,9706185928,9706185927,5.55925177
13,4626884,29271913,29271912,18.98527616
14,147759333,1609407577,1609407529,42.89076733
15,88454960,1027327648,1027327562,48.59316375
16,332455382,1552956967,1552956940,10.48041562
17,15506586,154617349,154616700,13.90436493
18,543888806,9706102314,5257661207,62.05021314
19,29214452,6052666722,321340427,8.272845003
20,10594556,92485592,3770972264,46.62966722
21,248669675,300837214,92502237,6.908640248
22,33693780,1552918953,7546322986,13.21962909
23,"[374942860, 364500942]",3783252608,3685416482,53.1449816
24,30924941,343771842,343771835,16.69642875
25,27391434,92486219,3770972264,2.84457433
26,623562573,5888701562,2946358452,36.256954
27,1056324193,3251966771,30795581,64.21243878
28,15801863,9706184443,158680097,70.25358832
29,623564133,5888717629,1600183685,9.026842128
30,"[332455396, 24978189]",1858525435,271411889,49.29644863
31,1046342147,9706184440,5255884008,44.4966987
32,1051240310,9660451399,2927395047,17.02961833
33,1049712153,9688270184,300833205,13.48359109
34,1056324195,9706184422,9706184421,7.447246442
35,1046340525,9706184461,9622399262,7.310214809
36,424301132,9706132690,4237458796,7.548921497
37,332455377,2938530156,3961895980,49.2805654
38,"[327050762, 327050763, 327050768, 327050773, 1051776118, 1051776119, 327050776, 942298971, 942298972, 942298974]",3337623271,1735294014,47.46905453
39,4799414,148880569,413357305,88.73012153
40,546559501,5281831701,5281831651,98.15187135
41,543698059,5255884007,1388659051,6.597993576
42,10753466,5679622650,1600183703,11.85202081
43,1056047860,3250568386,3250568377,18.70845653
44,609970337,5777113994,5777113990,6.330839869
45,543888798,5257661186,3947490894,7.878442258
46,1047637741,9633454688,5255884009,2.539442285
47,543888806,5257661207,2554281733,4.434187123
48,14389214,3407334056,1552956926,4.448383805
49,856631996,7986975769,7986975765,4.572608753
50,"[1056324126, 1056324127]",9706102311,9706102309,15.2424852
51,25958900,3474613799,283192371,32.03875907
52,"[31823596, 602621663]",356299463,29033250,12.80702587
53,1056324216,9706184471,5257663323,5.637732676
54,4803560,9634209369,1552956921,8.614679634
55,14389224,9632940309,140401783,2.953204423
56,51265912,28887286,3964915313,55.43773644
57,60447877,154608885,34537342,25.66854244
58,35164365,300029702,300029154,5.673960351
59,609970347,5777113896,696114743,7.862542993
60,1050795702,9656211989,9634087995,18.89268194
61,1047602495,9643206993,92499558,5.304386713
62,"[327050750, 327050752, 1051776117, 543698054]",5255883996,3337623271,9.677812721
63,889067535,32635134,26114485,29.36740449
64,1056324137,9706185928,9706185925,16.27839656
65,146778074,1600183688,1600183684,4.472589175
66,1046985312,9630406469,9627712509,61.66085712
67,"[1050797144, 28774796]",9656187288,92485068,62.51298755
68,60505837,5777113881,5128008063,4.508787365
69,"[1056324146, 1051114903]",9656038646,9656038635,89.02368974
70,150132676,154607529,1630517604,11.40477567
71,1056276413,9654653079,5777113869,5.759543528
72,32927197,1027163129,1027163115,7.25207753
73,"[1051111384, 1051111385, 1051111386, 1051111383]",5679622628,5679622626,39.50700521
74,1056324206,9633105276,4917184365,5.478923224
75,1051231404,9660357613,5679622626,12.53757235
76,623350636,1027163129,29033263,6.117731114
77,1056324147,5777113830,316283661,8.163515239
78,1013813175,9634071458,1388689533,6.153106122
79,32927292,356308761,356299461,135.66035
80,1044561541,9611535112,9611524891,6.046134118
81,29214452,6052666722,1721058334,5.270587806
82,"[4483813, 827588343]",7726245989,316407656,26.19321687
83,1046201412,9621133242,9621133229,110.9106768
84,160044285,4938694489,1721058339,4.394191007
85,5937204,5777114113,3324781135,66.37400659
86,1044564157,5257661218,1388659069,5.824767663
87,1046984830,9655986851,9627714324,42.09522484
88,41459881,253201687,1721058184,7.212921807
89,1056048517,9632908831,9632627207,25.93671043
90,"[609970361, 406415436]",696114725,4896615745,1.672602786
91,4799414,413357305,26114485,7.089480242
92,1047304125,9630406138,9630388076,62.91308495
93,92142136,726784470,635149793,72.43250921
94,35162769,9706185803,4237458796,24.00852231
95,1047303703,9630385382,3961895978,6.615448323
96,1046353631,9622526767,9622526764,64.06731211
97,"[1050777312, 1046356185]",5257661177,140401148,45.71550639
98,30924940,1032369144,343771835,9.756830584
99,1056324191,9622491869,9622383982,7.612551374
100,35393371,1027163117,5772928447,15.45651012
101,543888823,5257663375,5257663348,2.878241643
102,1047608444,9633149397,9633149394,29.12445797
103,386288953,6052666722,6052666721,4.713460652
104,374522039,154609870,1721058258,17.74736335
105,543698057,9705210239,1622451498,8.791862879
106,332455412,5651203221,364713588,10.36462033
107,1050772132,9655986857,9632975472,58.69687353
108,1050772132,9632975472,3407334056,2.848817927
109,543888830,3336760543,9622397608,31.057289
110,1056324220,1721058340,1721058334,4.699833097
111,435417552,5772928447,3813718398,8.115744988
112,1047603168,9657081383,9633097457,78.65717416
113,"[424299690, 290296853, 290296855]",6052666716,4237357693,20.97526051
114,1047613003,9660896850,5257661190,60.79085654
115,88438882,6533609803,5579085921,11.66835003
116,"[88438880, 375992487]",357182532,267348630,16.49958173
117,69184467,26114485,364713590,16.38378785
118,1047589371,9632895948,2267097798,5.370135076
119,"[551057472, 160044285]",4938694489,1630517604,12.55029371
120,1046984830,9622521986,9622496953,52.69709153
121,1051690337,5777113881,5777113880,41.66817135
122,332455403,316403154,92486224,23.04225014
123,602621692,364713590,364713588,5.952829897
124,1021065358,9706184466,4326566911,35.53053361
125,406415433,3645923193,696114725,1.886315192
126,542921365,1721058174,1721058173,4.811491135
127,1051231400,9660357613,5679622587,36.83887194
128,1054411602,9633134387,1552918953,4.97312581
129,1055792068,5569641107,4845210657,101.4285864
130,"[37518120, 25958900, 340245807]",3474613690,3474613676,19.58954366
131,1013813175,9634088000,1388689533,5.722271524
132,1047613022,9633205661,9630350792,20.23812246
133,10594635,1608966953,5281831700,5.449589922
134,150132676,4790577012,154608885,8.915748335
135,"[1056324202, 1049569910]",9645470439,347341553,32.9305761
136,"[1056324228, 1056324229, 424301132]",9706132692,9706132690,32.38213972
137,43585161,5281831694,92489497,7.69595068
138,131497974,1447128560,343771914,4.529524189
139,377964919,5115701914,300028688,11.61548134
140,51265912,283458336,28887285,13.7870903
141,149233866,1622451498,26886975,43.17577259
142,91095292,1236630741,1027200844,120.3939523
143,24978193,5888716830,211185019,4.481829856
144,1047303498,9630395086,3961895976,6.561871726
145,"[291221104, 24978194]",358327527,271411932,60.45067713
146,146545821,5679622592,271411932,82.38555012
147,146977155,316284659,3919338897,5.422319998
148,33695352,1388689532,211185000,23.60218417
149,1046352526,9645488824,9622402150,12.29940548
150,1056324201,9706184454,9706184452,19.51527596
151,1047614369,5281831653,9633153095,154.0608443
152,424299705,4237364594,4237437593,37.6239163
153,1051686576,9703605475,9632898847,4.502286887
154,543888807,9622510459,5257661211,6.484497538
155,88965300,1032369423,1032369144,17.75170017
156,50005675,3474613672,140416888,24.53594376
157,131509514,1447225891,1447128560,28.91733845
158,"[1056324136, 1056324138, 1056324135]",9706185928,9706184455,21.61364423
159,147759332,2927395047,727801811,17.43397414
160,"[1051690336, 1051690337, 1051690637, 609970333, 1051690331, 1051690332, 1051690333, 1051690334, 1051690335]",5887150748,5777113974,61.91229339
161,1051306422,9661058369,7507148474,42.34102036
162,131497955,1821566790,1032369032,4.432885959
163,1049576121,9645470438,9645439916,1.614656901
164,1047608444,9633149394,9633134386,14.09425494
165,1051240311,9660451399,300833834,18.34672915
166,546559508,5281831664,5281831662,9.677891781
167,493931782,726784472,140416888,55.28366586
168,1056324193,9706184424,9706184421,5.874799993
169,419045293,5679622608,5651202413,8.983939776
170,"[603393874, 539455020, 377964919]",5219957759,4333383809,261.9739119
171,4310926,26114485,4333462067,10.57163273
172,"[1051693552, 546559516, 1051693551]",5281832025,5281831686,5.618464845
173,332455393,726784472,726784470,9.03441805
174,1046343203,9622455922,9611545294,42.82347477
175,1056047863,9622526763,1552956912,11.67907045
176,"[89971418, 1047614026]",9633125009,156377017,4.113919585
177,1047302872,9660896851,9660896848,28.11055229
178,"[539455022, 435423646]",4333462066,3779318168,32.17092055
179,550432837,3947490897,1137992200,43.70266328
180,602621692,4333462066,364713590,8.478352369
181,"[595798558, 595798559]",1027163117,696114760,13.5610157
182,50003696,283458352,283458341,21.87129758
183,1051111386,5679622632,5679622628,6.557010537
184,"[288184627, 321594075, 27391500]",4885127311,1037301301,22.22709418
185,"[131497946, 30924947]",1032369114,343771899,41.51534346
186,14389229,140401784,140402111,39.16017843
187,"[331552994, 88965284]",9706186126,277971966,11.24703253
188,1047302779,9706185770,9664609007,52.63853253
189,59865060,7726245996,743313367,8.538921052
190,1047606714,9633121652,5281831685,92.76992631
191,527458577,9632985168,5777113887,10.32220619
192,838224599,7823210748,7935090985,21.24289927
193,695789350,1027200994,267348630,6.347392428
194,1050793156,9633474584,3250568438,4.942333136
195,1049569464,9706185936,9645470433,18.21240128
196,"[136124105, 136124106, 1058617358]",4192226421,2921203101,17.24689116
197,609970352,5777113831,2528311030,4.505589637
198,"[424299708, 424299709]",4237364594,4237356994,32.26235537
199,546559524,5281832021,3561119043,14.43077333
200,131497941,1447128258,1447128116,9.141683202
201,31823596,370806385,356299463,7.635432224
202,"[1049577760, 1056324176]",9706186037,9645475875,18.41250831
203,146778074,5629355622,635164836,5.027603164
204,"[1050797145, 1050797142]",3881823371,300836297,29.74045463
205,546559502,5281831654,3961895979,6.969572623
206,942362272,7507148472,3942928483,5.64443504
207,60447874,154607529,321340426,18.53197556
208,623564029,6105450836,211185019,7.449888038
209,1056047866,9703556813,1552985911,6.809342403
210,609970337,5777113991,5777113990,3.836997904
211,"[671231160, 4734966]",30202171,5219957759,23.0767622
212,1056047865,5116225748,5116225726,7.639038615
213,98363946,9613322300,1137992200,9.489854876
214,10594582,271411930,271411895,12.99583145
215,627360924,5888716848,5297663708,8.546693231
216,"[1047603124, 141878415]",9633097457,7546304476,25.36962819
217,589599897,5679622657,5629355622,8.176151959
218,131497974,1447129002,1447128560,22.53325829
219,1051820108,30795605,3251866822,7.386260688
220,15801861,9622436747,9706184444,31.67755278
221,"[140726947, 609970340]",283458344,696114743,30.37196038
222,33693799,34505893,2528311030,13.71178792
223,424299705,4237357693,4237421792,38.25820095
224,1047304175,9706186225,9630406138,3.838204949
225,131497981,1447128487,1032369338,50.10941313
226,"[406415433, 609970366]",5777114113,696114725,30.91461526
227,27331400,300029568,300029154,17.31641798
228,527458577,5777113879,5777113878,5.731317525
229,1046986064,9627715530,5281831684,9.384177738
230,131498749,1447134930,343771867,12.27564769
231,15675989,5104501110,1821566802,29.01814606
232,1050797144,3881822151,300836297,27.08678734
233,1051683434,3395919444,2429347242,5.375311862
234,146545815,28887289,364713591,14.86192748
235,"[542921368, 542921370]",5248714220,5248714213,40.93322092
236,942285773,8725681882,3961895978,28.70530219
237,30907766,1037402736,300833205,1.646722298
238,"[88965285, 131497983]",1032369080,343771867,37.2872708
239,58659782,92496509,92492775,45.48053509
240,1056324213,9633105276,9417487052,6.84417023
241,332455407,5777113872,1076506770,17.1738157
242,695789351,1027201149,1027200723,33.32083151
243,1051693200,9664611711,4917184468,8.036598557
244,623562570,9657073669,635164801,7.774282468
245,596103331,5679622679,5679622674,33.3587536
246,"[4389595, 389871854]",5777113974,26807340,10.7879871
247,98363946,211184998,9634037277,9.060933272
248,295864510,3961895979,2938530110,37.56599563
249,1021065358,9706184464,2275605562,9.036405497
250,"[389878328, 856632004]",7986975780,4424939203,13.62389127
251,"[15506819, 210440845]",1858525435,154620947,17.65902567
252,364500942,3685416484,3685416482,19.40185249
253,1050875438,1431144378,635164807,11.76010754
254,"[543888804, 33693780]",7546322986,7546304480,27.9529026
255,891693454,3685416470,754618299,21.57446936
256,146977153,34669932,1388659069,11.8229597
257,25983496,5777113990,283458334,4.710593584
258,601718653,5723286876,5717871980,10.35011264
259,334810150,5777113889,34519462,5.352064378
260,10594647,3961895975,3961895974,42.36023634
261,838224599,7823210751,7986975765,14.90201399
262,1056324216,9633121652,5257663323,5.004980235
263,"[543698056, 543698061, 543698055]",5255883997,5255883996,15.47601651
264,"[25614747, 25614748]",9703556812,5200136554,55.92102466
265,1047706422,9634169364,9634169363,1.756284876
266,543888807,9633032364,9622510459,37.26542631
267,364500935,3685416467,3685416458,64.89698048
268,1050772132,9705704505,9627702972,5.889455253
269,25959900,1027327551,29271907,30.34650078
270,60447877,34537342,154609870,43.43268478
271,89903756,9630388092,471598800,28.11883041
272,326969830,9611545294,3336760560,8.590424976
273,"[609970345, 609970339]",1076506784,1076506770,10.34839155
274,856631998,7986975774,7986975772,2.591608239
275,336679557,9706186130,3437355090,10.77496574
276,1051113796,9659231809,9622483757,46.49670162
277,838224599,3813888157,7823210751,21.92141097
278,33694486,9706185954,9706185947,14.36442857
279,98363947,9622491868,9622486765,33.13232362
280,792706412,9660405692,7726245985,4.855881762
281,"[1047697274, 1056324188]",9634048864,9622486765,20.53762607
282,147692717,154608885,1042890578,10.47471743
283,"[856632002, 389878331]",7986975777,3930389596,16.15759568
284,27361456,390486264,390486262,4.815947521
285,596103327,5679622662,5679622657,5.295611189
286,527458577,5777113898,5777113879,4.280377394
287,546559505,5281831654,3961895982,8.082275864
288,146977152,9706184461,26889117,6.267060542
289,321594156,6357594212,3283501011,36.65312841
290,841683068,7852847354,7852847349,83.42828065
291,14389428,92499558,140403043,36.0089664
292,548370033,635164801,140402611,27.34601611
293,1056324144,9633124979,1821566806,8.742474231
294,1056047857,9355268488,3251866822,6.522904419
295,141887994,1552985917,1552985915,11.13311892
296,546559514,5281831678,1721058208,5.036442409
297,"[1056324139, 1049569910]",9645470436,9645390894,69.61030516
298,37684124,30202173,356299462,10.19343093
299,"[546559497, 1047606182]",9633063398,6052666716,41.24841542
300,609970365,1076506766,356313752,17.52804301
301,"[596103312, 596103313, 596103330]",5888716842,5679622664,41.71308939
302,332455400,2429347242,156352016,19.65982241
303,4730406,28887285,3942928483,6.967976789
304,1051685376,9703556813,8530038743,9.164416508
305,1046341291,9622402152,9622402150,99.25828046
306,623562568,5679622661,5679622660,6.514078647
307,596103317,6348133258,5679622680,68.89438262
308,248669680,2554281739,2554281730,35.49883076
309,609970345,5777113892,1076506770,4.556612322
310,1056276415,9643337199,9634209368,20.15299052
