DATE,PED_TOTAL
2020-01-01,1015.0
2020-01-02,1110.0
2020-01-03,1851.0
2020-01-04,1681.0
2020-01-05,1225.0
2020-01-06,2751.0
2020-01-07,2771.0
2020-01-08,2986.0
2020-01-09,3429.0
2020-01-10,3420.0
2020-01-11,2793.0
2020-01-12,1459.0
2020-01-13,3007.0
2020-01-14,3475.0
2020-01-15,3509.0
2020-01-16,3923.0
2020-01-17,3492.0
2020-01-18,3686.0
2020-01-19,1283.0
2020-01-20,3095.0
2020-01-21,3110.0
2020-01-22,2916.0
2020-01-23,2780.0
2020-01-24,3041.0
2020-01-25,2265.0
2020-01-26,1218.0
2020-01-27,3005.0
2020-01-28,2309.0
2020-01-29,2509.0
2020-01-30,3249.0
2020-01-31,3515.0
2020-02-01,2417.0
2020-02-02,1138.0
2020-02-03,2263.0
2020-02-04,2580.0
2020-02-05,3216.0
2020-02-06,3622.0
2020-02-07,3369.0
2020-02-08,2676.0
2020-02-09,1409.0
2020-02-10,1828.0
2020-02-11,2179.0
2020-02-12,2530.0
2020-02-14,2623.0
2020-02-15,2551.0
2020-02-16,1219.0
2020-02-17,2257.0
2020-02-18,3145.0
2020-02-19,2779.0
2020-02-20,3475.0
2020-02-21,3427.0
2020-02-22,2963.0
2020-02-23,1406.0
2020-02-24,3397.0
2020-02-25,3088.0
2020-02-26,2711.0
2020-02-27,2599.0
2020-02-28,3430.0
2020-02-29,2281.0
2020-03-01,1883.0
2020-03-02,2819.0
2020-03-03,3076.0
2020-03-04,3427.0
2020-03-05,2398.0
2020-03-06,2698.0
2020-03-07,2465.0
2020-03-08,1629.0
2020-03-09,2398.0
2020-03-10,2211.0
2020-03-11,2254.0
2020-03-12,3465.0
2020-03-13,3343.0
2020-03-14,1938.0
2020-03-15,1303.0
2020-03-16,2616.0
2020-03-17,1736.0
2020-03-18,1405.0
2020-03-19,1274.0
2020-03-20,967.0
2020-03-21,658.0
2020-03-22,480.0
2020-03-23,977.0
2020-03-24,948.0
2020-03-25,926.0
2020-03-26,905.0
2020-03-27,957.0
2020-03-28,970.0
2020-03-29,311.0
2020-03-30,674.0
2020-03-31,956.0
2020-04-01,1159.0
2020-04-02,1081.0
2020-04-03,1209.0
2020-04-04,1042.0
2020-04-05,790.0
2020-04-06,1170.0
2020-04-07,1244.0
2020-04-08,1264.0
2020-04-09,1343.0
2020-04-10,834.0
2020-04-11,1228.0
2020-04-12,777.0
2020-04-13,816.0
2020-04-14,1112.0
2020-04-15,1256.0
2020-04-16,1239.0
2020-04-17,1375.0
2020-04-18,1312.0
2020-04-19,907.0
2020-04-20,1175.0
2020-04-21,1236.0
2020-04-22,1337.0
2020-04-23,1449.0
2020-04-24,1453.0
2020-04-25,1362.0
2020-04-26,920.0
2020-04-27,1563.0
2020-04-28,940.0
2020-04-29,1251.0
2020-04-30,968.0
2020-05-01,532.0
2020-05-02,844.0
2020-05-03,931.0
2020-05-04,1487.0
2020-05-05,847.0
2020-05-06,1601.0
2020-05-07,1993.0
2020-05-08,1694.0
